zone,month,zone_disruption_freq,flood_risk,fog_risk,heat_risk,aqi_base,month_risk,weather_severity,aqi_level,traffic_disruption,worker_tenure_weeks,worker_claim_ratio,risk_score,weekly_premium_inr
Gurugram Sector 29,9,0.28,0.5,0.55,0.68,0.72,0.6,0.6163,0.4259,0.077,80,0.3815,0.5584,71.34
Dwarka,8,0.38,0.6,0.65,0.7,0.78,0.75,0.3705,0.5861,0.1072,14,0.1613,0.5314,70.26
Connaught Place,6,0.28,0.3,0.55,0.7,0.72,0.8,0.7138,0.6308,0.1295,5,0.6127,0.7184,77.74
Lajpat Nagar,3,0.32,0.45,0.5,0.68,0.75,0.2,0.1344,0.1716,0.1169,89,0.0515,0.1767,56.07
Janakpuri,1,0.3,0.4,0.6,0.68,0.76,0.7,0.4819,0.1942,0.05,95,0.2118,0.4173,65.69
Karol Bagh,12,0.33,0.42,0.55,0.72,0.82,0.75,0.7615,0.5751,0.1385,67,0.1331,0.7185,77.74
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.3192,0.6488,0.078,21,0.2571,0.4081,65.32
Janakpuri,4,0.3,0.4,0.6,0.68,0.76,0.25,0.3416,0.6721,0.1146,72,0.0833,0.3467,62.87
Gurugram Sector 29,9,0.28,0.5,0.55,0.68,0.72,0.6,0.4636,0.5055,0.1272,99,0.2487,0.5155,69.62
Rohini,4,0.35,0.5,0.7,0.72,0.8,0.25,0.2825,0.1161,0.0178,17,0.4165,0.293,60.72
Gurugram Sector 29,5,0.28,0.5,0.55,0.68,0.72,0.75,0.6014,0.4237,0.1461,20,0.1234,0.4892,68.57
Dwarka,9,0.38,0.6,0.65,0.7,0.78,0.6,0.3929,0.5299,0.1296,33,0.3468,0.5872,72.49
Mayur Vihar,8,0.35,0.55,0.58,0.7,0.8,0.75,0.1898,0.4334,0.0729,30,0.0339,0.4225,65.9
Shahdara,8,0.4,0.65,0.6,0.72,0.85,0.75,0.3677,0.6865,0.0031,7,0.1746,0.648,74.92
Shahdara,1,0.4,0.65,0.6,0.72,0.85,0.7,0.4475,0.3024,0.0088,9,0.0567,0.4464,66.85
Rohini,6,0.35,0.5,0.7,0.72,0.8,0.8,0.6057,0.3597,0.2526,29,0.1623,0.5138,69.55
Janakpuri,6,0.3,0.4,0.6,0.68,0.76,0.8,0.6146,0.0295,0.0334,27,0.094,0.4065,65.26
Karol Bagh,8,0.33,0.42,0.55,0.72,0.82,0.75,0.266,0.1873,0.1294,70,0.448,0.381,64.24
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.3942,0.4723,0.1567,81,0.0963,0.4396,66.58
Mayur Vihar,2,0.35,0.55,0.58,0.7,0.8,0.65,0.5496,0.6565,0.2462,84,0.2139,0.5515,71.06
Janakpuri,10,0.3,0.4,0.6,0.68,0.76,0.65,0.4384,0.7812,0.2096,93,0.0829,0.5544,71.18
Gurugram Sector 29,9,0.28,0.5,0.55,0.68,0.72,0.6,0.572,0.5323,0.1672,98,0.3167,0.6138,73.55
Noida Sector 18,10,0.3,0.45,0.58,0.7,0.74,0.65,0.435,0.6662,0.0482,78,0.1256,0.5662,71.65
Janakpuri,4,0.3,0.4,0.6,0.68,0.76,0.25,0.4243,0.2827,0.0235,36,0.2649,0.3453,62.81
Dwarka,12,0.38,0.6,0.65,0.7,0.78,0.75,0.2485,0.7015,0.061,25,0.018,0.588,72.52
Noida Sector 18,4,0.3,0.45,0.58,0.7,0.74,0.25,0.1671,0.6343,0.0138,28,0.0402,0.3243,61.97
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.5003,0.6359,0.007,75,0.3907,0.5901,72.61
Noida Sector 18,2,0.3,0.45,0.58,0.7,0.74,0.65,0.4686,0.4457,0.1818,89,0.0896,0.4594,67.38
Lajpat Nagar,12,0.32,0.45,0.5,0.68,0.75,0.75,0.685,0.8083,0.0329,5,0.0994,0.7802,80.21
Noida Sector 18,4,0.3,0.45,0.58,0.7,0.74,0.25,0.1406,0.4816,0.0271,38,0.2596,0.2893,60.57
Noida Sector 18,10,0.3,0.45,0.58,0.7,0.74,0.65,0.3498,0.622,0.1772,49,0.1677,0.4857,68.43
Lajpat Nagar,4,0.32,0.45,0.5,0.68,0.75,0.25,0.35,0.3506,0.0802,43,0.0957,0.3078,61.31
Mayur Vihar,10,0.35,0.55,0.58,0.7,0.8,0.65,0.6309,0.7442,0.2045,58,0.1045,0.5831,72.32
Saket,6,0.25,0.35,0.5,0.65,0.7,0.8,0.7801,0.5186,0.1191,23,0.0797,0.5805,72.22
Mayur Vihar,1,0.35,0.55,0.58,0.7,0.8,0.7,0.3434,0.6676,0.1512,10,0.479,0.6236,73.95
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.2544,0.5872,0.0532,6,0.1899,0.3914,64.66
Rohini,9,0.35,0.5,0.7,0.72,0.8,0.6,0.3366,0.5871,0.099,1,0.14,0.474,67.96
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.1969,0.4523,0.1369,21,0.1155,0.2488,58.95
Rohini,4,0.35,0.5,0.7,0.72,0.8,0.25,0.292,0.6797,0.137,80,0.7177,0.4879,68.52
Dwarka,7,0.38,0.6,0.65,0.7,0.78,0.7,0.6976,0.4724,0.0332,20,0.1408,0.5077,69.31
Noida Sector 18,4,0.3,0.45,0.58,0.7,0.74,0.25,0.401,0.4978,0.1396,41,0.2059,0.4225,65.9
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.7333,0.1453,0.107,78,0.1559,0.4804,68.22
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.6283,0.4148,0.2567,104,0.0758,0.4763,68.05
Lajpat Nagar,9,0.32,0.45,0.5,0.68,0.75,0.6,0.3841,0.5028,0.0746,67,0.2973,0.4613,67.45
Rohini,9,0.35,0.5,0.7,0.72,0.8,0.6,0.4917,0.4879,0.0528,13,0.3452,0.5586,71.34
Noida Sector 18,12,0.3,0.45,0.58,0.7,0.74,0.75,0.4547,0.5684,0.0356,7,0.1699,0.6391,74.56
Mayur Vihar,2,0.35,0.55,0.58,0.7,0.8,0.65,0.8218,0.5118,0.2011,16,0.2086,0.69,76.6
Rohini,6,0.35,0.5,0.7,0.72,0.8,0.8,0.5656,0.5696,0.1861,2,0.14,0.5682,71.73
Dwarka,3,0.38,0.6,0.65,0.7,0.78,0.2,0.3889,0.0818,0.2584,22,0.0734,0.239,58.56
Vasant Kunj,11,0.22,0.3,0.48,0.65,0.68,0.8,0.6856,0.6283,0.0417,50,0.2988,0.5861,72.44
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.592,0.3012,0.1386,87,0.1073,0.4035,65.14
Shahdara,2,0.4,0.65,0.6,0.72,0.85,0.65,0.3548,0.6596,0.072,59,0.1298,0.5871,72.48
Janakpuri,9,0.3,0.4,0.6,0.68,0.76,0.6,0.3524,0.5424,0.1127,90,0.098,0.5306,70.23
Saket,1,0.25,0.35,0.5,0.65,0.7,0.7,0.458,0.4655,0.0272,70,0.2057,0.4895,68.58
Noida Sector 18,4,0.3,0.45,0.58,0.7,0.74,0.25,0.1351,0.1474,0.1182,10,0.3964,0.1847,56.39
Noida Sector 18,9,0.3,0.45,0.58,0.7,0.74,0.6,0.4131,0.5775,0.1015,32,0.1598,0.53,70.2
Dwarka,7,0.38,0.6,0.65,0.7,0.78,0.7,0.6597,0.2603,0.3633,50,0.0524,0.5139,69.56
Connaught Place,10,0.28,0.3,0.55,0.7,0.72,0.65,0.4622,0.6978,0.0888,59,0.2308,0.5668,71.67
Lajpat Nagar,7,0.32,0.45,0.5,0.68,0.75,0.7,0.2671,0.5218,0.0264,80,0.0935,0.4279,66.12
Vasant Kunj,11,0.22,0.3,0.48,0.65,0.68,0.8,0.3334,0.5805,0.0721,63,0.1875,0.441,66.64
Janakpuri,7,0.3,0.4,0.6,0.68,0.76,0.7,0.6953,0.7134,0.0361,82,0.1397,0.6266,74.06
Janakpuri,1,0.3,0.4,0.6,0.68,0.76,0.7,0.3694,0.5161,0.1098,4,0.12,0.4531,67.13
Janakpuri,1,0.3,0.4,0.6,0.68,0.76,0.7,0.7792,0.6336,0.0248,37,0.3379,0.6636,75.55
Mayur Vihar,10,0.35,0.55,0.58,0.7,0.8,0.65,0.4002,0.5584,0.3165,104,0.1628,0.5117,69.47
Connaught Place,1,0.28,0.3,0.55,0.7,0.72,0.7,0.4947,0.5226,0.1315,15,0.0153,0.4836,68.35
Connaught Place,5,0.28,0.3,0.55,0.7,0.72,0.75,0.3835,0.1993,0.0516,99,0.2685,0.3808,64.23
Dwarka,1,0.38,0.6,0.65,0.7,0.78,0.7,0.4772,0.153,0.0725,36,0.0921,0.425,66.0
Janakpuri,4,0.3,0.4,0.6,0.68,0.76,0.25,0.17,0.5019,0.1163,40,0.2391,0.296,60.84
Gurugram Sector 29,8,0.28,0.5,0.55,0.68,0.72,0.75,0.6878,0.4156,0.1004,11,0.0436,0.5372,70.49
Janakpuri,3,0.3,0.4,0.6,0.68,0.76,0.2,0.3942,0.4197,0.0634,62,0.1768,0.4061,65.25
Janakpuri,6,0.3,0.4,0.6,0.68,0.76,0.8,0.446,0.3549,0.0376,26,0.4773,0.5065,69.26
Vasant Kunj,12,0.22,0.3,0.48,0.65,0.68,0.75,0.8114,0.4067,0.0667,40,0.104,0.6266,74.06
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.6294,0.6709,0.0229,77,0.1575,0.5748,71.99
Shahdara,1,0.4,0.65,0.6,0.72,0.85,0.7,0.1852,0.3831,0.2159,88,0.5184,0.4584,67.33
Shahdara,4,0.4,0.65,0.6,0.72,0.85,0.25,0.2449,0.7096,0.2242,76,0.0998,0.3517,63.07
Janakpuri,10,0.3,0.4,0.6,0.68,0.76,0.65,0.6353,0.9168,0.1907,10,0.3235,0.7088,77.35
Mayur Vihar,5,0.35,0.55,0.58,0.7,0.8,0.75,0.4434,0.5934,0.0375,65,0.4233,0.5783,72.13
Dwarka,8,0.38,0.6,0.65,0.7,0.78,0.75,0.1914,0.5544,0.2997,19,0.3059,0.5609,71.44
Vasant Kunj,1,0.22,0.3,0.48,0.65,0.68,0.7,0.7189,0.5713,0.0058,96,0.0785,0.5525,71.1
Dwarka,9,0.38,0.6,0.65,0.7,0.78,0.6,0.4374,0.6798,0.1129,76,0.4892,0.6215,73.86
Shahdara,1,0.4,0.65,0.6,0.72,0.85,0.7,0.5082,0.7636,0.072,60,0.3779,0.6684,75.73
Shahdara,9,0.4,0.65,0.6,0.72,0.85,0.6,0.2476,0.6843,0.2774,26,0.0229,0.5299,70.2
Karol Bagh,2,0.33,0.42,0.55,0.72,0.82,0.65,0.6215,0.7543,0.0366,104,0.161,0.5874,72.49
Janakpuri,11,0.3,0.4,0.6,0.68,0.76,0.8,0.3271,0.6647,0.0588,103,0.428,0.5562,71.25
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.2257,0.2683,0.0943,63,0.1628,0.2634,59.54
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.4873,0.326,0.0325,87,0.0788,0.3805,64.22
Saket,5,0.25,0.35,0.5,0.65,0.7,0.75,0.4143,0.5887,0.0725,73,0.0736,0.4629,67.52
Mayur Vihar,1,0.35,0.55,0.58,0.7,0.8,0.7,0.5468,0.474,0.0452,87,0.0604,0.5154,69.62
Connaught Place,2,0.28,0.3,0.55,0.7,0.72,0.65,0.596,0.5733,0.0175,14,0.4402,0.5699,71.8
Karol Bagh,8,0.33,0.42,0.55,0.72,0.82,0.75,0.7795,0.078,0.16,18,0.442,0.5065,69.26
Shahdara,4,0.4,0.65,0.6,0.72,0.85,0.25,0.1187,0.7366,0.0321,30,0.2948,0.3657,63.63
Lajpat Nagar,5,0.32,0.45,0.5,0.68,0.75,0.75,0.4605,0.3923,0.1528,21,0.149,0.5294,70.17
Dwarka,10,0.38,0.6,0.65,0.7,0.78,0.65,0.0967,0.8567,0.0333,75,0.1626,0.5503,71.01
Shahdara,2,0.4,0.65,0.6,0.72,0.85,0.65,0.4438,0.435,0.0682,85,0.2784,0.5531,71.12
Dwarka,5,0.38,0.6,0.65,0.7,0.78,0.75,0.4715,0.2506,0.0241,73,0.0354,0.4211,65.84
Lajpat Nagar,3,0.32,0.45,0.5,0.68,0.75,0.2,0.2899,0.3696,0.1015,45,0.2674,0.2904,60.62
Noida Sector 18,6,0.3,0.45,0.58,0.7,0.74,0.8,0.6119,0.3686,0.0322,74,0.3981,0.5745,71.98
Gurugram Sector 29,4,0.28,0.5,0.55,0.68,0.72,0.25,0.2565,0.3759,0.1012,78,0.3644,0.3747,63.99
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.7107,0.3409,0.2073,9,0.173,0.5445,70.78
Dwarka,1,0.38,0.6,0.65,0.7,0.78,0.7,0.4279,0.6858,0.1418,66,0.1592,0.6459,74.83
Rohini,11,0.35,0.5,0.7,0.72,0.8,0.8,0.1201,0.7611,0.0196,2,0.14,0.4731,67.92
Noida Sector 18,1,0.3,0.45,0.58,0.7,0.74,0.7,0.3744,0.4102,0.1472,91,0.1639,0.444,66.76
Gurugram Sector 29,10,0.28,0.5,0.55,0.68,0.72,0.65,0.3867,0.3945,0.0454,4,0.112,0.4425,66.7
Gurugram Sector 29,11,0.28,0.5,0.55,0.68,0.72,0.8,0.2783,0.5882,0.171,83,0.1339,0.449,66.96
Vasant Kunj,6,0.22,0.3,0.48,0.65,0.68,0.8,0.511,0.181,0.1096,7,0.2281,0.4256,66.02
Mayur Vihar,4,0.35,0.55,0.58,0.7,0.8,0.25,0.2086,0.172,0.1131,70,0.2397,0.2016,57.06
Dwarka,10,0.38,0.6,0.65,0.7,0.78,0.65,0.6286,0.921,0.231,8,0.0936,0.6507,75.03
Lajpat Nagar,12,0.32,0.45,0.5,0.68,0.75,0.75,0.5071,0.6821,0.0411,67,0.1047,0.7236,77.94
Noida Sector 18,2,0.3,0.45,0.58,0.7,0.74,0.65,0.5927,0.3732,0.0291,25,0.0871,0.467,67.68
Karol Bagh,12,0.33,0.42,0.55,0.72,0.82,0.75,0.7638,0.8714,0.1153,84,0.1381,0.8506,83.02
Vasant Kunj,12,0.22,0.3,0.48,0.65,0.68,0.75,0.2749,0.667,0.1022,102,0.2744,0.5296,70.19
Rohini,2,0.35,0.5,0.7,0.72,0.8,0.65,0.5072,0.2397,0.0749,52,0.1697,0.4697,67.79
Rohini,1,0.35,0.5,0.7,0.72,0.8,0.7,0.5627,0.6521,0.0778,22,0.1393,0.5711,71.84
Connaught Place,9,0.28,0.3,0.55,0.7,0.72,0.6,0.4115,0.1964,0.1048,55,0.1635,0.3397,62.59
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.6089,0.2462,0.0697,13,0.0391,0.4563,67.25
Shahdara,8,0.4,0.65,0.6,0.72,0.85,0.75,0.2281,0.3571,0.0317,98,0.4911,0.5077,69.31
Shahdara,1,0.4,0.65,0.6,0.72,0.85,0.7,0.386,0.5616,0.2671,4,0.16,0.5739,71.96
Saket,9,0.25,0.35,0.5,0.65,0.7,0.6,0.5197,0.401,0.1247,83,0.2583,0.4754,68.01
Dwarka,3,0.38,0.6,0.65,0.7,0.78,0.2,0.1159,0.1601,0.3068,78,0.1102,0.1869,56.48
Mayur Vihar,2,0.35,0.55,0.58,0.7,0.8,0.65,0.7033,0.6755,0.1477,92,0.2385,0.6367,74.47
Janakpuri,1,0.3,0.4,0.6,0.68,0.76,0.7,0.7357,0.3685,0.0868,82,0.234,0.5319,70.28
Mayur Vihar,3,0.35,0.55,0.58,0.7,0.8,0.2,0.209,0.5109,0.0408,71,0.159,0.2961,60.84
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.4742,0.5447,0.0365,22,0.0781,0.455,67.2
Dwarka,1,0.38,0.6,0.65,0.7,0.78,0.7,0.4781,0.5318,0.1903,40,0.6997,0.6263,74.05
Rohini,10,0.35,0.5,0.7,0.72,0.8,0.65,0.3774,0.5893,0.1235,59,0.1657,0.5051,69.2
Vasant Kunj,8,0.22,0.3,0.48,0.65,0.68,0.75,0.2173,0.6271,0.0576,97,0.0169,0.3658,63.63
Noida Sector 18,4,0.3,0.45,0.58,0.7,0.74,0.25,0.3112,0.2473,0.0478,63,0.1916,0.3165,61.66
Dwarka,12,0.38,0.6,0.65,0.7,0.78,0.75,0.3302,0.3907,0.0108,27,0.6568,0.6755,76.02
Noida Sector 18,8,0.3,0.45,0.58,0.7,0.74,0.75,0.641,0.3626,0.0989,37,0.1431,0.5105,69.42
Shahdara,9,0.4,0.65,0.6,0.72,0.85,0.6,0.4186,0.6056,0.1009,34,0.0896,0.542,70.68
Karol Bagh,3,0.33,0.42,0.55,0.72,0.82,0.2,0.3075,0.6121,0.0671,71,0.095,0.3355,62.42
Dwarka,9,0.38,0.6,0.65,0.7,0.78,0.6,0.2036,0.6737,0.1271,24,0.1878,0.4957,68.83
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.3255,0.4667,0.0897,104,0.3249,0.4184,65.73
Vasant Kunj,12,0.22,0.3,0.48,0.65,0.68,0.75,0.5418,0.6968,0.018,75,0.0231,0.5683,71.73
Rohini,6,0.35,0.5,0.7,0.72,0.8,0.8,0.5795,0.4867,0.1194,24,0.1744,0.5913,72.65
Lajpat Nagar,9,0.32,0.45,0.5,0.68,0.75,0.6,0.3923,0.315,0.0311,62,0.3179,0.466,67.64
Shahdara,5,0.4,0.65,0.6,0.72,0.85,0.75,0.7536,0.5402,0.1727,29,0.1269,0.6009,73.04
Connaught Place,1,0.28,0.3,0.55,0.7,0.72,0.7,0.4467,0.0833,0.0754,60,0.1647,0.3508,63.03
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.5807,0.5057,0.098,52,0.4349,0.6536,75.14
Janakpuri,11,0.3,0.4,0.6,0.68,0.76,0.8,0.2313,0.5737,0.1691,73,0.2926,0.4728,67.91
Vasant Kunj,9,0.22,0.3,0.48,0.65,0.68,0.6,0.4997,0.1947,0.0798,22,0.1379,0.3175,61.7
Vasant Kunj,5,0.22,0.3,0.48,0.65,0.68,0.75,0.6382,0.4666,0.0304,87,0.2607,0.5937,72.75
Lajpat Nagar,9,0.32,0.45,0.5,0.68,0.75,0.6,0.498,0.2743,0.0608,81,0.2541,0.4893,68.57
Karol Bagh,1,0.33,0.42,0.55,0.72,0.82,0.7,0.588,0.6321,0.1442,28,0.3459,0.6478,74.91
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.6862,0.5505,0.0451,86,0.1752,0.5406,70.62
Gurugram Sector 29,7,0.28,0.5,0.55,0.68,0.72,0.7,0.51,0.2724,0.1078,80,0.2218,0.5536,71.15
Karol Bagh,8,0.33,0.42,0.55,0.72,0.82,0.75,0.6513,0.7254,0.0879,34,0.3299,0.6606,75.42
Karol Bagh,12,0.33,0.42,0.55,0.72,0.82,0.75,0.4643,0.6507,0.1636,55,0.1803,0.6674,75.7
Rohini,10,0.35,0.5,0.7,0.72,0.8,0.65,0.1898,0.4292,0.2625,1,0.14,0.4128,65.51
Karol Bagh,4,0.33,0.42,0.55,0.72,0.82,0.25,0.31,0.6832,0.2114,93,0.0566,0.4009,65.04
Lajpat Nagar,10,0.32,0.45,0.5,0.68,0.75,0.65,0.6788,0.813,0.1056,72,0.2838,0.7276,78.1
Shahdara,6,0.4,0.65,0.6,0.72,0.85,0.8,0.281,0.6762,0.1837,5,0.1441,0.5146,69.58
Janakpuri,10,0.3,0.4,0.6,0.68,0.76,0.65,0.6958,0.7885,0.0886,79,0.2768,0.6647,75.59
Dwarka,3,0.38,0.6,0.65,0.7,0.78,0.2,0.1692,0.5652,0.1214,25,0.3737,0.3477,62.91
Connaught Place,1,0.28,0.3,0.55,0.7,0.72,0.7,0.4941,0.5646,0.0793,53,0.1212,0.4585,67.34
Mayur Vihar,1,0.35,0.55,0.58,0.7,0.8,0.7,0.3994,0.4196,0.2518,19,0.0843,0.4562,67.25
Saket,12,0.25,0.35,0.5,0.65,0.7,0.75,0.6887,0.7643,0.0617,2,0.1,0.7391,78.57
Noida Sector 18,1,0.3,0.45,0.58,0.7,0.74,0.7,0.6765,0.6055,0.0947,6,0.5434,0.6456,74.82
Saket,12,0.25,0.35,0.5,0.65,0.7,0.75,0.4984,0.503,0.0681,3,0.1,0.5557,71.23
Saket,9,0.25,0.35,0.5,0.65,0.7,0.6,0.6373,0.577,0.0738,70,0.1648,0.5151,69.61
Karol Bagh,2,0.33,0.42,0.55,0.72,0.82,0.65,0.7385,0.4831,0.0086,98,0.3826,0.6486,74.94
Lajpat Nagar,11,0.32,0.45,0.5,0.68,0.75,0.8,0.544,0.8035,0.012,83,0.1481,0.5946,72.78
Gurugram Sector 29,2,0.28,0.5,0.55,0.68,0.72,0.65,0.4601,0.1469,0.1004,99,0.1198,0.3056,61.22
Gurugram Sector 29,2,0.28,0.5,0.55,0.68,0.72,0.65,0.5491,0.548,0.0902,55,0.1164,0.5208,69.83
Saket,7,0.25,0.35,0.5,0.65,0.7,0.7,0.3881,0.239,0.0699,37,0.0717,0.3269,62.08
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.1923,0.4984,0.1838,87,0.157,0.2826,60.3
Connaught Place,4,0.28,0.3,0.55,0.7,0.72,0.25,0.1485,0.3601,0.1064,23,0.3918,0.2873,60.49
Vasant Kunj,3,0.22,0.3,0.48,0.65,0.68,0.2,0.186,0.4624,0.1307,67,0.2187,0.2877,60.51
Vasant Kunj,8,0.22,0.3,0.48,0.65,0.68,0.75,0.3327,0.539,0.0568,15,0.1019,0.3917,64.67
Rohini,1,0.35,0.5,0.7,0.72,0.8,0.7,0.6401,0.5414,0.0658,68,0.0924,0.5777,72.11
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.3282,0.4811,0.0853,27,0.2446,0.2965,60.86
Lajpat Nagar,7,0.32,0.45,0.5,0.68,0.75,0.7,0.4226,0.3855,0.0983,25,0.416,0.4728,67.91
Connaught Place,6,0.28,0.3,0.55,0.7,0.72,0.8,0.3191,0.6032,0.1409,79,0.1285,0.507,69.28
Mayur Vihar,9,0.35,0.55,0.58,0.7,0.8,0.6,0.4285,0.2619,0.0331,101,0.0903,0.4541,67.16
Karol Bagh,3,0.33,0.42,0.55,0.72,0.82,0.2,0.496,0.5976,0.0843,71,0.2284,0.4163,65.65
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.3479,0.4373,0.0907,52,0.2597,0.5192,69.77
Gurugram Sector 29,10,0.28,0.5,0.55,0.68,0.72,0.65,0.5224,0.4421,0.0342,76,0.0427,0.4552,67.21
Rohini,5,0.35,0.5,0.7,0.72,0.8,0.75,0.513,0.353,0.2539,101,0.2343,0.4989,68.95
Saket,4,0.25,0.35,0.5,0.65,0.7,0.25,0.4036,0.481,0.1018,84,0.0801,0.3361,62.45
Noida Sector 18,7,0.3,0.45,0.58,0.7,0.74,0.7,0.1853,0.2946,0.138,42,0.5131,0.4293,66.17
Gurugram Sector 29,7,0.28,0.5,0.55,0.68,0.72,0.7,0.396,0.4907,0.0655,57,0.4281,0.5338,70.35
Karol Bagh,2,0.33,0.42,0.55,0.72,0.82,0.65,0.6149,0.4908,0.1309,47,0.1396,0.5342,70.37
Connaught Place,7,0.28,0.3,0.55,0.7,0.72,0.7,0.2257,0.1505,0.0675,54,0.0412,0.2684,59.74
Rohini,2,0.35,0.5,0.7,0.72,0.8,0.65,0.5284,0.7676,0.1837,74,0.1276,0.6644,75.58
Dwarka,7,0.38,0.6,0.65,0.7,0.78,0.7,0.2576,0.5226,0.1508,23,0.1764,0.4659,67.64
Dwarka,12,0.38,0.6,0.65,0.7,0.78,0.75,0.2746,0.5407,0.2393,84,0.0498,0.5527,71.11
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.538,0.4162,0.0573,53,0.0799,0.4237,65.95
Mayur Vihar,10,0.35,0.55,0.58,0.7,0.8,0.65,0.4932,0.471,0.1581,25,0.2371,0.5521,71.08
Dwarka,4,0.38,0.6,0.65,0.7,0.78,0.25,0.237,0.1724,0.1103,94,0.1821,0.18,56.2
Vasant Kunj,12,0.22,0.3,0.48,0.65,0.68,0.75,0.5653,0.54,0.1048,104,0.27,0.6317,74.27
Janakpuri,10,0.3,0.4,0.6,0.68,0.76,0.65,0.5947,0.5965,0.0975,56,0.1354,0.6081,73.32
Shahdara,12,0.4,0.65,0.6,0.72,0.85,0.75,0.5682,0.6495,0.0681,5,0.446,0.7895,80.58
Janakpuri,9,0.3,0.4,0.6,0.68,0.76,0.6,0.4348,0.6136,0.0479,61,0.1552,0.5226,69.9
Lajpat Nagar,8,0.32,0.45,0.5,0.68,0.75,0.75,0.2571,0.1913,0.0378,6,0.3243,0.379,64.16
Vasant Kunj,7,0.22,0.3,0.48,0.65,0.68,0.7,0.4615,0.4688,0.1149,91,0.1915,0.445,66.8
Connaught Place,12,0.28,0.3,0.55,0.7,0.72,0.75,0.2356,0.8869,0.0136,12,0.2234,0.676,76.04
Rohini,11,0.35,0.5,0.7,0.72,0.8,0.8,0.306,0.4583,0.0408,78,0.4167,0.4789,68.16
Rohini,6,0.35,0.5,0.7,0.72,0.8,0.8,0.3823,0.5397,0.0844,59,0.105,0.4716,67.86
Dwarka,2,0.38,0.6,0.65,0.7,0.78,0.65,0.2666,0.3283,0.2785,74,0.2626,0.4543,67.17
Lajpat Nagar,1,0.32,0.45,0.5,0.68,0.75,0.7,0.5285,0.4365,0.1156,67,0.1183,0.4784,68.14
Connaught Place,3,0.28,0.3,0.55,0.7,0.72,0.2,0.2818,0.1625,0.0681,34,0.0953,0.2645,59.58
Gurugram Sector 29,1,0.28,0.5,0.55,0.68,0.72,0.7,0.2564,0.5482,0.0252,94,0.3417,0.4336,66.34
Vasant Kunj,3,0.22,0.3,0.48,0.65,0.68,0.2,0.1934,0.4855,0.1514,83,0.1131,0.2979,60.92
Lajpat Nagar,2,0.32,0.45,0.5,0.68,0.75,0.65,0.4969,0.4859,0.0638,47,0.1222,0.4538,67.15
Dwarka,12,0.38,0.6,0.65,0.7,0.78,0.75,0.38,0.6293,0.0184,90,0.0826,0.6485,74.94
Shahdara,2,0.4,0.65,0.6,0.72,0.85,0.65,0.6655,0.5283,0.1529,82,0.2667,0.6313,74.25
Vasant Kunj,8,0.22,0.3,0.48,0.65,0.68,0.75,0.6874,0.5475,0.1107,37,0.2167,0.5328,70.31
Gurugram Sector 29,5,0.28,0.5,0.55,0.68,0.72,0.75,0.4842,0.6395,0.0633,64,0.1292,0.558,71.32
Mayur Vihar,3,0.35,0.55,0.58,0.7,0.8,0.2,0.2766,0.4264,0.0779,20,0.1358,0.3041,61.16
Shahdara,9,0.4,0.65,0.6,0.72,0.85,0.6,0.4518,0.2342,0.0584,44,0.0196,0.4534,67.14
Janakpuri,12,0.3,0.4,0.6,0.68,0.76,0.75,0.4083,0.4761,0.0279,41,0.1012,0.5428,70.71
Rohini,10,0.35,0.5,0.7,0.72,0.8,0.65,0.1467,0.4902,0.1083,60,0.0513,0.3636,63.54
Karol Bagh,12,0.33,0.42,0.55,0.72,0.82,0.75,0.2024,0.846,0.0198,35,0.2227,0.657,75.28
Mayur Vihar,8,0.35,0.55,0.58,0.7,0.8,0.75,0.7237,0.7182,0.0779,23,0.2291,0.6876,76.5
Connaught Place,9,0.28,0.3,0.55,0.7,0.72,0.6,0.3788,0.1755,0.2301,39,0.5521,0.4046,65.19
Gurugram Sector 29,2,0.28,0.5,0.55,0.68,0.72,0.65,0.813,0.3742,0.1439,80,0.1411,0.518,69.72
